category	text																										
Non-anti-LGBT+ content	Behindwoods please ivalai maari aalugalai interview paanathiga																										
Non-anti-LGBT+ content	Sema acting Vera level 😭																										
Transphobic	Yan vedikkai pakkuringa pottaingala																										
Homophobic	girubhakar T dai gomma thevidiyaluku porentha thaaivaliii gay punda																										
Non-anti-LGBT+ content	Yenda nee un bedroom la velaku pudichi katuva pola ellarukum vaanga nana yokiya pundanu. Otha aduthavandha ommbaraethe polapa pochila. Pooda dei 2.5 vayasu kuladhya karpalaikara Kama koduranga pandradha vida idu kevalam illda																										
Non-anti-LGBT+ content	Nenga solrathu correct gavravam than pakuranga sethu vakka matinguranga vazhave pudikala																										
Non-anti-LGBT+ content	Seriously Neraya troll Videos pathu irukan.. Ithu nala iruku... Mukiyama 2:57 and kamal reply Vera level																										
Non-anti-LGBT+ content	Yempa Madras bottom pidikatho																										
Non-anti-LGBT+ content	Amala  😂etha nama yosikavae ilayae	 Yepudi kekuthu 😯																									
Non-anti-LGBT+ content	vera level bro naanum unga channel uh subscribe panite enooda frnds ellaarum subscribe pannitaanga																										
Non-anti-LGBT+ content	Tha.... Badu ommala																										
Non-anti-LGBT+ content	Véra level bros.....																										
Non-anti-LGBT+ content	@mohan  dei athellam seri antha malini respect panna mattra da. Summa stage la than eppadi nerula pona mathikka mattra																										
Non-anti-LGBT+ content	Mooditu poda badu...																										
Non-anti-LGBT+ content	ninga gay a sir																										
Non-anti-LGBT+ content	sari ah nadika la																										
Transphobic	Ne ambalaya illa pombalaya,; Pakka ambalamadhiri iruka ana voice bombalamadhiri irrukku																										
Transphobic	Seruppala adingada intha thevidiya lungala😡😡😡😡😡😡😡																										
Homophobic	eval etho Oscar award waangierukaal paa.rajith peruma padurathiku . kaama thuku alaigiraa naai eval																										
Non-anti-LGBT+ content	share panni support pannunga nanba...																										
Non-anti-LGBT+ content	Inga ivangala thitra arivuketa jenmagalellam poi science ah padinga																										
Non-anti-LGBT+ content	Yo Vera level ya																										
Non-anti-LGBT+ content	Super na Solla varthaiye illa 👌																										
Non-anti-LGBT+ content	Sharuk Sameer Thax a lot man 👌🏻																										
Non-anti-LGBT+ content	🙏🙏 great job bro																										
Non-anti-LGBT+ content	Prabhu Prabhu ungala than kuttitu poganum																										
Homophobic	@Ashok kumar  un poola kammipiya oombra																										
Non-anti-LGBT+ content	Niraya videos podukanga bro please																										
Non-anti-LGBT+ content	Romba thimuru dhan																										
Non-anti-LGBT+ content	I'm waiting part 2																										
Non-anti-LGBT+ content	Yaru pa indha paiyan																										
Non-anti-LGBT+ content	@mahesh babu  broo really neenga yarunu tharila....! NYC meet u broo																										
Non-anti-LGBT+ content	Appo male interviewers girls ah interview pandra appo site adikalaiya adhu mattum normal ah																										
Non-anti-LGBT+ content	Vunarvugalai kattupadutha mudiyalana,kattupadutha kathukanum,,yellam unarvu dhaan,chinna vayasulaye kaama unarvugal varum adhai porumayudan sagithu kondu society Ku yedhu sirandhadho adhanpadi nadandhukanum....yenakku vunarvu vandhudhu naan seiren nu solla theridhu,pirapirkum maranathirkum idayilana vazhakaiyoda nakkathai purinjukanum nu ninaighadhunda......indha vulagathula nadakura kodumaigal ellam vunarvugala kattupadutha theriyadha porumai illadhanala dhaan varudhu......																										
Non-anti-LGBT+ content	Romba mokka bro																										
Non-anti-LGBT+ content	saravanan subbramani  😡😡😠																										
Non-anti-LGBT+ content	Part 2 eppo varum pa pls anuppunga																										
Non-anti-LGBT+ content	Naalu books ah kuda padikama oru loosu kootam iruku nu theriudhu.. Edhuku pride march nadakudhu nu theriama vellakaran kollakaran nu comment pantrukanunga.. Veli ulaga அறிவு, sexual orientation pathina arivu oru mannum illa																										
Homophobic	Ada chi saniyane po mental koodhi ....aambalaimga maathi maathi pool eh sappikonga pombalainga maathi maathi koodhi eh nakkikonga......vidhai epdi poda mudiyum kolandhai epdi porakum....idha ulagathila namba Onnu eh epdi vittu povom arivuketta naaye..	 	 Idhalam oru pozhappu idhuku otha Periya pool Maari explanation chi thoo...	 	 Naadu nakkinu dhaan po podhu																						
Homophobic	Adichu thorathunga da																										
Homophobic	ivalunga thappu pannatha nama sonna udane namma thappu panna mathuri pesura samugam irikkura vara 	 evanum nalavana iruka mudiyathu	 ivalugala thirutha aandavanala mudila	 athan epdi padaichuttan																							
Non-anti-LGBT+ content	Manitha neyam ullavarkal than unmaiyana deivam👍👍																										
Non-anti-LGBT+ content	Mohamed Sameer, well said bro, avan(desi) kedakkura loosu payan																										
Non-anti-LGBT+ content	Jallikkattukaga poradna youngsters enga endha naayinga enga thooooooooo																										
Non-anti-LGBT+ content	super  bro																										
Non-anti-LGBT+ content	Kalyanam pandra anaivarukum kuzhanthai iruka... Malatu thanmai adhigamaitu iruku athellam sari pannunga																										
Non-anti-LGBT+ content	Vera leval nanba💯💯💯💯💯💯💯💯💯💯👍👍👍👍.......																										
Non-anti-LGBT+ content	swetha k ,naa unna asingama thittave illa,enga asingama tittunean nu kattu..																										
Non-anti-LGBT+ content	Kannkalgiruchu bro antha akka dance la aduraga nalla akka																										
Homophobic	Thirppu sonna Charja Seruppala adikkanum																										
Non-anti-LGBT+ content	Hello 👋 number																										
Non-anti-LGBT+ content	😍❤️Omg you're pretty																										
Non-anti-LGBT+ content	Naa karungal Patti juice kada veedhi																										
Non-anti-LGBT+ content	Bangam	 Panriga pa🤣																									
Non-anti-LGBT+ content	Hey ...apo ...vaanga namma love panlam ..ungala.partha ennakku pudichirukku ❤️Basic Tamizhan.. Neenga makkala seerum sirappumaa vaazha veiyyunga paakalaam. 	 	 Onnuthukkum udhavaadha comment ah poda mattum dhaan varuveenga.																								
Non-anti-LGBT+ content	Ennala veetla solla mudiyala . veliye yarukittayum share panna mudiyala rompo kashdama irukku. Ennaikkavathu oru naal ennoda life marumunu nambikkaila than irukken																										
Non-anti-LGBT+ content	Hi friend uroorethu																										
Non-anti-LGBT+ content	Namma akka ketta paru kelvi																										
Non-anti-LGBT+ content	Super bro eppo 2 varum😍																										
Non-anti-LGBT+ content	@Prem Kumar  hi																										
Non-anti-LGBT+ content	Rompa feel aituchu😓																										
Non-anti-LGBT+ content	Unmaiya kaasu koduka koduka solli people rompa kasdam padutharaku																										
Non-anti-LGBT+ content	Super siss ,nee nenaikartha pannu,inga evanukum unna kelvi kekura yogitha kedayathu,,.....																										
Non-anti-LGBT+ content	Thirunagai mathipom. Avangalum human tha pa .																										
Non-anti-LGBT+ content	About lesbian akka																										
Non-anti-LGBT+ content	Hyyyooo....intha akka pesaratha kekke kekka paityiyam pudichurum pola irukku....																										
Non-anti-LGBT+ content	Rmba late aachu intha nala movie a release pana	 Inum kjm yrs munadiye vara vendiya movie 	 Feel gud 😍																								
Non-anti-LGBT+ content	1 nimisham na apdiye shock agitan! ha ha ha																										
Non-anti-LGBT+ content	@green green  SUPER SUPER																										
Non-anti-LGBT+ content	@Ayy Ar  OK machi, love you.																										
Non-anti-LGBT+ content	100 % true																										
Non-anti-LGBT+ content	Saniyanunga.chi epdium silathu irukunga...																										
Non-anti-LGBT+ content	Romba kastam dhan unga life																										
Non-anti-LGBT+ content	1st un appana check pannu...yendha putthula yendha paambu irukunu solla mudiyadhu...un appan original ah irundha aparam vandhu pesu da________...																										
Non-anti-LGBT+ content	Bro nalla pannirukinga bro 🎉👍																										
Non-anti-LGBT+ content	10 percentage transgender tha urupadiyah erukanga..avangala tha Manam ketta endha Tamil cinema migai paduthi kaatudhu..meethi 90 percentage epdi thaa arajagam panitu theriuranga....soodu soranai elladhavanga																										
Non-anti-LGBT+ content	Kodumayana vazhakaie 😱😱😭😭😭😭😔😔😔																										
Non-anti-LGBT+ content	na neenga vera leavel.anna super acting 😅😅😅😅																										
Non-anti-LGBT+ content	I love you 🌺🌺🌺🌺🌺																										
Non-anti-LGBT+ content	Super nga ,massnga...getunga																										
Non-anti-LGBT+ content	Ithuga tholla thangala ithugala adaka oru satamum illaya chi																										
Non-anti-LGBT+ content	Iva pesurathu correct ah illayanu therila but iva pesura vitham sarila..																										
Non-anti-LGBT+ content	Hii super bro																										
Non-anti-LGBT+ content	Avalo  Aripu  iruntha  Nee evalachum  pudichu  katiko																										
Non-anti-LGBT+ content	Bold speech! Bravo																										
Non-anti-LGBT+ content	Meera mitun is a transgender??																										
Non-anti-LGBT+ content	Bro namma passangalukkuaga oru Telegram group or what's app arambikkalam...Safe aaa irukkume																										
Non-anti-LGBT+ content	Ethungalem peinga pesasu																										
Non-anti-LGBT+ content	Thank you 😀																										
Non-anti-LGBT+ content	Kan kalanga vaitha nanbarukku mutual vanakkam																										
Non-anti-LGBT+ content	Lovely ya nanum Thirunangai tan																										
Non-anti-LGBT+ content	@kias info channel  praise God. Jesus Christ bless u.																										
Transphobic	9 naiga ethugalailam ninka vatchu vettanum seruppulaiye atikkanum																										
Homophobic	Pasanga payathula pesura mariye eruke yenga da ponu kedaikama poidonu pesura mari eruke .......																										
Non-anti-LGBT+ content	Loosu mari pesura r pesuran																										
Non-anti-LGBT+ content	Voicemessage anupa mudinchurunndha ....neraiya sollirupen bro.	 	 	 Unga manasuku nallairupinga nanba.																							
Non-anti-LGBT+ content	Dai..edhu dhan da correct ana video..youtube la innaiku dhan da nalla video pathuruke..wish you guys💥💥💥																										
Non-anti-LGBT+ content	Hey what ya!!!! Ipdi ellam ah videos poduvinga.																										
Non-anti-LGBT+ content	Cinema thanam illatha kaadhala cinemavil solla ungala maathiri aall thaan theevai 	 Great and matured																									
Non-anti-LGBT+ content	Nenga sollatha varikum ivunga transgender nu therila																										
Non-anti-LGBT+ content	Bro unga nadippu semma 👌💯																										
Non-anti-LGBT+ content	parents convince  panra scene la acting super .																										
Non-anti-LGBT+ content	apdiye nama comedy pathuta poga																										
Non-anti-LGBT+ content	rifaya riju it's sexual orientation .. itha payithayumnu solra neenga than payithkyam.																										
Non-anti-LGBT+ content	@life experience  unga number																										
Non-anti-LGBT+ content	Nanum oru thirunangai than...feelings velipadutha mudiyama romba kastapaduren......familykaga than iruken.......kadavule......kodumaiya iruku...																										
Non-anti-LGBT+ content	making good awarness																										
Non-anti-LGBT+ content	Varun thambi rohit ooda real name enna 😅😅😅😅😅																										
Non-anti-LGBT+ content	Neeyala English teach panraya kumaru 5:43😸😸😸																										
Non-anti-LGBT+ content	இதுல என்ன தப்பு you talking very bold I support																										
Non-anti-LGBT+ content	@innocent Raj  ❤️ namba aal sema spotive uh pesuraru paaru vera level 🔥																										
Non-anti-LGBT+ content	Katrina neega romba cute😆..... Ashiq bro neega semma 💪💪bro unga show Vera Level bro👌👏👏👍👍.....																										
Non-anti-LGBT+ content	@Ayy Ar  why bro, enna achi  unggalukku.tidirnu message panrata stop pannitinga.ennai pudikkalaiya.etuva iruntalum na unga mela vacha  natpu unmaiyanatu.i am waiting for your message. I love you again my sweet heart.																										
Non-anti-LGBT+ content	Dei semma da super da vera level da pullarikuthu da dei 👌👌👌👌																										
Non-anti-LGBT+ content	Super  bro																										
Non-anti-LGBT+ content	@Shivani Narendran  hi fi ..🙌																										
Non-anti-LGBT+ content	@Dragon Pool Fan , Kathu Kuduthuvana Serupula Adikalanu!																										
Non-anti-LGBT+ content	Over scene po d																										
Non-anti-LGBT+ content	Intha mathiri nanum valanum assai but yanaku tha yarum Illa😞😞😞😞😞																										
Non-anti-LGBT+ content	Oru unmaiyaana ARUVI ah paatha maathiri iruku😁😀																										
Non-anti-LGBT+ content	Ealla prank um sirikka vaikkum but  ethu azha vachi ,sinthikka vaikkithu😨																										
Non-anti-LGBT+ content	anish anish : unaku un prechana???😊																										
Non-anti-LGBT+ content	Neenga romba pavam akka iam gay intha world apadithan akka don't worry																										
Non-anti-LGBT+ content	Antha  Akkavitgaka  like pannuran 👨‍👩‍👧💑👨‍👩‍👧‍👧																										
Non-anti-LGBT+ content	Adei😂😂😂😂unarchikku kudava yezha, pannakkarannu pirippinga....; Acceptance illa dhan. Aana adhu maaranum. Paamaranukkum andha level of acceptance pannanum.																										
Non-anti-LGBT+ content	3: 05..yenga akka ella bayangaram																										
Non-anti-LGBT+ content	Bro Avanga great bro semma character antha akka avanga avangalukku vantha comments ellam avankitta sollunga bro vera level bro Avanga																										
Non-anti-LGBT+ content	Pl part 2																										
Non-anti-LGBT+ content	Nega mudicha enga ashramathuku vanga bro																										
Non-anti-LGBT+ content	Namba kavalaiya kettu velagi pooranga sontha karanga.. .....yarune theriyatha oru paiyana Katti anatchu aarthal sonnanga paarunga. Che chance se ella super Akka 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👏👏👏👏👏👏👏👏👏👏😭😭😭😭😭😭😭																										
Non-anti-LGBT+ content	@El TIGER  unaku epdi oru ponu mela attraction eruko andha Mari avangaluku same sex mela attraction eruku edha purinja theriyala na sagu																										
Non-anti-LGBT+ content	Bro....Nenga nalla varanum bro❤️🖤																										
Non-anti-LGBT+ content	Dude i accept your speech but ungalala idhae  speech ah konjam verupa kammi panni pesa mudinja inum ungala neraiya per reach panna mudiyum, enna  thimira pesuranga;  appadidhaan thonnudhu, but i support everything you say,  hatoff to your gyts...																										
Non-anti-LGBT+ content	Onnu content pathi comments podalam ..Ile ethavathu cmnt podalam ...first histu comments podara mental disorder person patha kavalaya irukku ....																										
Non-anti-LGBT+ content	Avanga nalla irukanum epomea																										
Homophobic	Aids idhu Nala Thana vardhu																										
Non-anti-LGBT+ content	Desi Gamer mudhalil manithanai manithanai parungal nanbare, mathathai kondu varathe, athuvum thani nabar virupam																										
Non-anti-LGBT+ content	God bless u ma																										
Non-anti-LGBT+ content	Nee thanda naai avangala ethuku solra.																										
Non-anti-LGBT+ content	Lipstick ashiq vera level																										
Non-anti-LGBT+ content	Sema da thambi																										
Non-anti-LGBT+ content	Oru naal bustand la Ninutu Irunthen 	 Yaarune Theriyala Oru Akka Nethila Thiruneer vachu unmela kannu neraya iruku saami Amma va Suthi poda sollunu sonnanga♥️ Bustand full ah enatha pakuranunga😹but avanga manasuthaan kadavul💕																									
Non-anti-LGBT+ content	Enimal woman and Man marriage panna kudathunu sonna kuda epti tha support pantranu solluvigala😡😡😡																										
Non-anti-LGBT+ content	Super da machi																										
Non-anti-LGBT+ content	@Raja .R  Hi bro.																										
Non-anti-LGBT+ content	Nee vela kodupiya...????																										
Non-anti-LGBT+ content	Ponnunga yepdi irukunumnu neenga yedhuku boss solringa?																										
Non-anti-LGBT+ content	Semma bro semma feel enaku romba kastama iruku																										
Non-anti-LGBT+ content	Vinoth Kumar dai niyum usu tana !																										
Non-anti-LGBT+ content	I'm working in AFRICA																										
Non-anti-LGBT+ content	Drama sir fullave																										
Non-anti-LGBT+ content	@Τζέγκαν ungala madri ellarum illaye																										
Non-anti-LGBT+ content	and na thirunangai Ella.. nan oru 21 vayasu Ponnu.. ne 9 nu solita yenaku onu asingam kadaiyaathu..ne yenna veynalum sollu da dei..un ponnu oru lgbt yaatha porapa..apo yenga poi saagura nu pakalam																										
Non-anti-LGBT+ content	No bro only cinema than kaaranam																										
Non-anti-LGBT+ content	Makkal nenaikira maari transgender mosamaanavangalo kevalam aanavangalo illa, enoda husband oru transman adaadhu Thirunambi, unga ellarukum thirunangai ah daan terinji irukum aana thirunambi nu oru set of people irukaanga. Avanga pennaga pirandhu harmonal imbalance naala payana maara pattavanga. ; ; Detain ah sollanum na, aana pirandhu harmonal imbalance naala maara padravanga daan thirunangai example ipo indha video la iruka akka, idey pennaga pirandhu harmonal imbalance naala maara patta avanga Thirunambi example enoda husband. ; ; Naan enoda husband ku close friend ah irundu avangaloda changes ah kann edirey paathan avangaloda physical changes veetula terinji avanga kitta pesa koodadhu ivanga laam mosamaavanga nu enna miratunaanga, enaku apdi Vida pudikala, Ooray enna thittuchu, enaku Kovam vanduchu en friend ah paatha Avar ah kalyaanam panni avanga naalayum nalla life vazha mudiyum nu prove pannanum Kandipa sadichi kaatanum nu naanga marriage pannikitom. ; ; Sathiyama soldren ulagathulla en purushan enna paathukura maari indha Ulagathula endha moolailayim endha purushan hum avan pondaati ah paathuka maatan, indha 21st century la illa 1st century la irundu kanaku edirthaalum en purushan maari endha purushan hum avan pondaati ah paathuka maatan. ; ; Really proud to be a wife of Transman																										
Non-anti-LGBT+ content	Enna solla varinga..																										
Non-anti-LGBT+ content	Gud concept anna!! 😔💖																										
Non-anti-LGBT+ content	swetha k ,olunga pora nanga loosam ,thappa pora neeinga correct aa?.																										
Non-anti-LGBT+ content	Nanba naa Salem thann prank pannumnu aasa yennai sethukovingla	 Ennoda name rahul	 Phone number 9384340427	 Salem town kitchipalayam																							
Non-anti-LGBT+ content	Avangala Yenya disturbance pandringa pavam avanga																										
Non-anti-LGBT+ content	Ni ingayum irukiya da																										
Non-anti-LGBT+ content	Love u bro enakku kannu kalakuthu😢😢😢																										
Non-anti-LGBT+ content	Achoo amma nega peasarathu avlo cute ah iruku ma nega atha Vida cute ah irukinga maa ethukume feel pannathinga epaumm 🤗																										
Non-anti-LGBT+ content	I'm bi...i support to 377																										
Non-anti-LGBT+ content	Antha manasu thaan sir kadavul																										
Non-anti-LGBT+ content	Idhuku munnadiyum idhellam nadakkudhu but idhu veliya sonna asingam nu ethana per marachu vachi manasukkula azhuvuraanga Theriyuma!																										
Non-anti-LGBT+ content	Next part fasta podunga anna																										
Non-anti-LGBT+ content	@pradeep  Tamil naatu culture pathi onnum theriaadhu pola.. Nama culture la idha ethukitaanga. 2000 years aa. Kovil sirpangalla paarunga.	 British katanga thaan idhu thappu u sattam kondu vandhadhu. Arabia maadri Muslim naatla idhu thappu.																									
Non-anti-LGBT+ content	Akka love u akka oru Thambi aaa																										
Non-anti-LGBT+ content	Avaka Renu Ka thana																										
Non-anti-LGBT+ content	OK super okmycellmy gunaa super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super super																										
Non-anti-LGBT+ content	Hi Nanba..., 🥰																										
Non-anti-LGBT+ content	Namma gay 9047385390 cont																										
Non-anti-LGBT+ content	Unmaya antha akka Vera level 🙏🙏..romba nalla manasu ullavanga 🤗🤗🤗																										
Non-anti-LGBT+ content	Ninga ean ippadi pesaringa,solrathu purithu ana konjam ninga pesarathu   vitham pidikkala																										
Non-anti-LGBT+ content	Nama ayiram kastathula pona ithunga vera naduvula ivangalukku kasu koduthu koduthu kedithuttom																										
Non-anti-LGBT+ content	Super nanba luv u																										
Non-anti-LGBT+ content	Na inga reply panren buddy																										
Non-anti-LGBT+ content	I'm ashok from sivakasi nanum ungala mathiri than Bro nanum enga veetla sonnen but nan ninacha mathiri Illa. Veetla enakku pidikkama marriage fix panni enakku kalyanamum pannittanga. Ennoda santhosam ellam pochi Bro. Ippa marriage agi One week aguthu. Nanum elathaium maranthuttu oru puthu valkkai ya arambikka poitten. Ippa wife kooda irukken. Nan santhosama illattium santhosama vala try panren. Unga phone number thanga Bro plssssssss																										
Transphobic	Arun lee ni oru Alee																										
Homophobic	Ajithan CJ pongada vennaingala...																										
Non-anti-LGBT+ content	Bro naa itha paattuthutu aluthutta antha akka ungalukkaga pannatha paatthu																										
Homophobic	Bro neenga nallavara kettavara..enaku oru doubt ithe marra uyiranagal gay lesbian pannungala ..ithu thappu ila natural ah kolantha porakurathu thanah nallathu																										
Non-anti-LGBT+ content	Ttm fans like here																										
Non-anti-LGBT+ content	Please start pannunga																										
Non-anti-LGBT+ content	Nalladhudhan makkal thohai kammi agum																										
Non-anti-LGBT+ content	@Bumble bee  sollittu delete pannidunga ma																										
Non-anti-LGBT+ content	Unnoda comments yochiga vaikuthu work panravangalum irukanga intha comments pakkra thirunangai ellorum nam samuthayathukana mariyathai nam thedavendum..nam ulaikga aarambithaal anaivarum namkku magudam sutta thayaara ah iruppargal vallvom vallnthu kaatuvom																										
Non-anti-LGBT+ content	Thu munja paru public toilet pola																										
Non-anti-LGBT+ content	Vera level bro yaarum intha maari panathilla😍😍😍😘😘😘😘🥰🥰🥰🥰																										
Non-anti-LGBT+ content	Babe u look so preety																										
Non-anti-LGBT+ content	Thalaiva unakku meesatha Vera level Yan ya save panna																										
Non-anti-LGBT+ content	Very  cute																										
Non-anti-LGBT+ content	Yov yana ya sirika vaikama ipadi aluga vachitinga... So so emotional.. Manasaa ullukiruchiiii.																										
Non-anti-LGBT+ content	your insta id bro																										
Non-anti-LGBT+ content	Unna mathalam venam nee apdithan iruka pakkurathuku																										
Non-anti-LGBT+ content	AIYOOOO AVALAVU PAASAMM THAAN NAAN FEEL PANDREAN... LOVE THIRUNANGAI AMMA																										
Homophobic	Nee penna naane confuse aaitten ...																										
Homophobic	Koiyala iva ellaraiyum homer sexualized agituva...																										
Non-anti-LGBT+ content	Vera level ma ne																										
Non-anti-LGBT+ content	adi pundaigala unga mela enaku mariyadha irundhucju ana eppo illa kanadraooliggala😡😡😡😡😠																										
Non-anti-LGBT+ content	Avanga enga oor thaa																										
Non-anti-LGBT+ content	Oruthanavathu thatti kekurana paru.. che																										
Non-anti-LGBT+ content	Bro love prank place																										
Transphobic	Ivalakku nalla seruppadi kodukanum																										
Non-anti-LGBT+ content	Feel pannathinga oru naal unga family purinchu panga wait pannunga 💯																										
Non-anti-LGBT+ content	Trans gender god bless you																										
Non-anti-LGBT+ content	Un jodi yaruma konjam intro panu																										
Non-anti-LGBT+ content	Heart touching video Anna......akka neega dha kadavel																										
Homophobic	Nariya oombirupa pola potta thevidiya paiya omala vantha avalootha tuuu 🗣️																										
Non-anti-LGBT+ content	Unmaiya solungha ungha views kakgha thana ipadipanrengha																										
Homophobic	Inga Aadunga 🐐 kooda sex pandranunga oru group !!! Karumam !!!																										
Non-anti-LGBT+ content	swetha k ,enna sonna ? Rape pannalainalum ,boys kuttravaliya?ha ha ha loosu loosu loosuku puratha loosu,unnamari lesbian illatha nalla ponnungalam ketta vanga naa sollave illaye...																										
Non-anti-LGBT+ content	Enakku oru maariya achi,waiting for next video																										
Non-anti-LGBT+ content	Ivan thirungai ila rowdy payan																										
Non-anti-LGBT+ content	Enna nanba ippedi nadikire...pppahhhhh																										
Non-anti-LGBT+ content	🤮 night 8 maniku mela andha naaiga avadharam theriyama video poduriga.chumma therika viduvaluga.puplic la																										
Homophobic	Intha saniyanaaa pethavaluku sorgam kedaikaathu ithu kutti sevura porathu pathaama elaarayume kedukuthu																										
Homophobic	Correct ta sonninga repent jesus																										
Non-anti-LGBT+ content	Bro innaiku unna paathan bro unga amma kuda																										
Non-anti-LGBT+ content	na oru ponnu na bus stop la wait pannitu irunthe appo en pakkathula thirunankaikal  three members ninnutu irunthanka avankala pathu first na payanthen apram time aaka aaka avanka pesarathu ellam kettute ninnutu irunthe avlo cuta pasama avankalukkullaye pesikkittanka pls yarum avankala thappana parvaila pakkatheenka pls gods aa nerla pakkamutiyathu ivanka ellam kataulota pillainka avankalukku help pannatilum parava illa pls kevalama pesatheenka plsssss																										
Non-anti-LGBT+ content	@amala selvaraj  Nan en thooku pottukanum? En ponnu apdi sonna, avala oru dhadavaiku nooru dhadava yosichu solluma nu kettutu appovum sonna sandhosama kalyanam panni vaipen! adha pathu yaar thittuna enakenna? Avanga avanga avangaloda vaazhakiya olunga sandhosama nimmadhiya vaazhndha aduthavanga vazhkaila mooka nozhaikka vendiya avasiyam illa. Like u.																										
Non-anti-LGBT+ content	sappadu koduththu othukka wendam..itukka idam kodunga....antha kasil..... peles ....	 Peles																									
Non-anti-LGBT+ content	@Manoj Nadarajan  yup.. so whuttttt?																										
Non-anti-LGBT+ content	Nalla thirunangai ❤️	 but intha chennai unit train la romba arajagam pandranga 	 Nalla thirunanga ellarukkum hats off 🙏																								
Non-anti-LGBT+ content	@Akshayan Kogularam  ada idhu oru paarisalan cringaana🤣🤣🤣🤣																										
Non-anti-LGBT+ content	Enaku avangala paatha poramaiya iruku, she s beautiful																										
Non-anti-LGBT+ content	Super keep it up																										
Homophobic	Vj bro.. Improvement venum.. Talk boldly madakki madakki Kelvi kelunga bro.. Konjam face la smile irrukkalam.. Am against LGBT 😈😈😈																										
Non-anti-LGBT+ content	Akka i love u akka 😘😘😘😘																										
Non-anti-LGBT+ content	Yo thaliva  yaru ya unga channel music director sema ya pongaya. Kannula thanniye vanthuduchu pa 😭😭😭😭😭❤️																										
Non-anti-LGBT+ content	I am gay																										
Non-anti-LGBT+ content	Kalyanam ayidichu nu vedi veesara																										
Non-anti-LGBT+ content	Akka   ni   en kuta  perakkalannu   fell  panra akka																										
Non-anti-LGBT+ content	yuro  superb nalla naakkapudughiramathiri kaettingha																										
Non-anti-LGBT+ content	thiruvalluvar sonnatha konjom theringikkonga....	 nee thappa valanthuttu atha niyayam paduthatha...																									
Non-anti-LGBT+ content	Super bro 😊👌👌👌👌👌																										
Non-anti-LGBT+ content	Congrats bro... Keep Rock																										
Non-anti-LGBT+ content	Antha akka super ra pesnanga																										
Non-anti-LGBT+ content	தீரன் kongu தமிழன் neege kude pannuvingge ellathiyum																										
Non-anti-LGBT+ content	I am Gay my ❤❤❤❤ammu 9600057461																										
Non-anti-LGBT+ content	Avugala mathiri ne valnthu paru therium unna mathiri irukanum kastapadurnga																										
Non-anti-LGBT+ content	@Bala kumar  kadaisi vare periya prblm varum varum nu soldrenge..Aana athu enne nu solla matringe..incest etho ipo than arambichiruku porn than karanam nu solrenge!! U need to read more.																										
Transphobic	Dei iduga ena Vena pantum aana buskula matum idugala vidama Pana Nala irukum .....idu pakathula thoda vandale Kayla iruka ela kaasayum na bayathula kuduthren.......																										
Homophobic	Ulagam enge poguthu azhivu nichayam varapoguthu																										
Non-anti-LGBT+ content	I like it, both gender's interest is must																										
Non-anti-LGBT+ content	Y dear my number block panna																										
Non-anti-LGBT+ content	Edhuku indhamathiri pesuraanga																										
Homophobic	Ivalum avala irrupalo																										
Non-anti-LGBT+ content	Thirunaangai ambalaingala thondaravu pana epdieruku..atheypolathant aangal pengalai tease panringa.. angal bayapaduratha patha sandhosamaeruku																										
Non-anti-LGBT+ content	Part 2 Epoo Anna podvinge🤯																										
Non-anti-LGBT+ content	Nice speech malini but una putikum																										
Non-anti-LGBT+ content	So cute beautiful 😊😊😊😊😊😊😊😊😊																										
Non-anti-LGBT+ content	Love you akka........ 😭♥️																										
Non-anti-LGBT+ content	Intha manashu than kadavull🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏																										
Non-anti-LGBT+ content	Transgender Ku oru salute🙏																										
Non-anti-LGBT+ content	Enakku work venum pro +2mudithurikken I am gay than																										
Non-anti-LGBT+ content	Sema sema sema																										
Non-anti-LGBT+ content	Bro enna ku alaga irukanum than aasai and girls kuda avaloka palakanathu illa and athikama na thaniyathan irupan athumattum illa enaku mood iruntha nan thaniya work pannniduvan apo nan enna gay ya  neega solluratha patha enaku bayamaruku bro 😀😂																										
Non-anti-LGBT+ content	gotha pundaila 5 vaigaai poolu pogumamaedaa apdiya																										
Non-anti-LGBT+ content	@Chen Nila  akka pls ur no kudunga akka																										
Non-anti-LGBT+ content	Pennai pondra manamulla thevathaikalthan thirunangaikal😊💙💚💚💛💛💛💛💜💜🖤🖤🖤																										
Non-anti-LGBT+ content	Sema kalai to meera 😂😂😂😂																										
Non-anti-LGBT+ content	Romba azaga sollirukinga vera leval																										
Non-anti-LGBT+ content	@Vijay Raj  Hii																										
Non-anti-LGBT+ content	Love u all lgbtq folks❤️																										
Non-anti-LGBT+ content	Neenge great ma																										
Non-anti-LGBT+ content	Kalakunga thala thirunanga thirunanga thaan speech less																										
Non-anti-LGBT+ content	Naa aluthutten.really avungaluku yevlo nalla manasu.																										
Non-anti-LGBT+ content	idu gay makkalukkana urimai.so avangalukaha mattum idu kutramilla endu than sattam varanum.																										
Transphobic	Evalungala aasinga paduthuradhula thppu ella chi																										
Non-anti-LGBT+ content	Unmaiyalum thirunangai yellarum great tha																										
Non-anti-LGBT+ content	@Priya Priya  oii Priya....!																										
